geoAreaName,type_of_product_desc,country+type,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,M2000,M2001,M2002,M2003,M2004,M2005,M2006,M2007,M2008,M2009,M2010,M2011,M2012,M2013,M2014,M2015,M2016,M2017,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010,G2011,G2012,G2013,G2014,G2015,G2016,G2017
Samoa,Ferrous ores,SamoaFerrous ores,,0.0476,0.00375,0.00437,0.0087,0.01562,0.01627,0.00704,0.00592,0.00496,0.01659,0.01463,0.04413,0.01379,0.01778,0.01792,0.01744,0.01811,0,0.14599,0.0118,0.01442,0.02982,0.05589,0.05816,0.02656,0.02188,0.01747,0.06051,0.05485,0.16038,0.04996,0.06513,0.06705,0.06898,0.07091,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Ferrous ores,SamoaFerrous ores,,0.0476,0.00375,0.00437,0.0087,0.01562,0.01627,0.00704,0.00592,0.00496,0.01659,0.01463,0.04413,0.01379,0.01778,0.01792,0.01744,0.01811,0,0.14599,0.0118,0.01442,0.02982,0.05589,0.05816,0.02656,0.02188,0.01747,0.06051,0.05485,0.16038,0.04996,0.06513,0.06705,0.06898,0.07091,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Grazed biomass and fodder crops,SamoaGrazed biomass and fodder crops,0.03426,0.03348,0.03966,0.03208,0.03076,0.02925,0.02912,0.02742,0.02772,0.02893,0.02759,0.02662,0.02734,0.02719,0.02669,0.02593,0.02434,0.02444,0.09777,0.10267,0.12477,0.10597,0.10544,0.10466,0.10414,0.10344,0.10252,0.10192,0.10065,0.09977,0.09934,0.09853,0.09774,0.097,0.09631,0.09566,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Grazed biomass and fodder crops,SamoaGrazed biomass and fodder crops,0.03426,0.03348,0.03966,0.03208,0.03076,0.02925,0.02912,0.02742,0.02772,0.02893,0.02759,0.02662,0.02734,0.02719,0.02669,0.02593,0.02434,0.02444,0.09777,0.10267,0.12477,0.10597,0.10544,0.10466,0.10414,0.10344,0.10252,0.10192,0.10065,0.09977,0.09934,0.09853,0.09774,0.097,0.09631,0.09566,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Metal ores,SamoaMetal ores,,0.04766,0.00377,0.00437,0.00874,0.01562,0.01629,0.00704,0.00592,0.005,0.01665,0.01466,0.0442,0.01379,0.01778,0.01792,0.01744,0.01811,0,0.14618,0.01186,0.01442,0.02996,0.05589,0.05824,0.02656,0.02188,0.0176,0.06073,0.05494,0.16062,0.04996,0.06513,0.06705,0.06898,0.07091,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Metal ores,SamoaMetal ores,,0.04766,0.00377,0.00437,0.00874,0.01562,0.01629,0.00704,0.00592,0.005,0.01665,0.01466,0.0442,0.01379,0.01778,0.01792,0.01744,0.01811,0,0.14618,0.01186,0.01442,0.02996,0.05589,0.05824,0.02656,0.02188,0.0176,0.06073,0.05494,0.16062,0.04996,0.06513,0.06705,0.06898,0.07091,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Non-ferrous ores,SamoaNon-ferrous ores,,6.00E-05,2.00E-05,,4.00E-05,,2.00E-05,,,4.00E-05,6.00E-05,2.00E-05,7.00E-05,,,,,,0,0.00019,0.00007,0,0.00013,0,0.00008,0,0,0.00014,0.00022,0.00009,0.00024,0,0,0,0,0,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Non-ferrous ores,SamoaNon-ferrous ores,,6.00E-05,2.00E-05,,4.00E-05,,2.00E-05,,,4.00E-05,6.00E-05,2.00E-05,7.00E-05,,,,,,0,0.00019,0.00007,0,0.00013,0,0.00008,0,0,0.00014,0.00022,0.00009,0.00024,0,0,0,0,0,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Samoa,Non-metallic minerals - industrial or agricultural dominant,SamoaNon-metallic minerals - industrial or agricultural dominant,,0.00168,0.00199,0.00215,0.00074,0.00058,0.00045,0.00029,0.00206,0.00139,0.00146,0.0015,0.00127,0.00139,0.0016,0.00155,0.00145,0.00145,0,0.00515,0.00625,0.00709,0.00254,0.00207,0.00162,0.00109,0.00762,0.00489,0.00534,0.00561,0.00462,0.00502,0.00588,0.00581,0.00574,0.00567,6.57,7.47,2.58,5.01,3.76,4.39,-0.05,5.5,-2.84,-2.14,1.64,-0.51,-4.89,-0.1,1.83,6.02,3.14,-1.06
Mauritania,Petroleum,MauritaniaPetroleum,,,,,,,0.37902,0.1811,0.1442,0.13555,0.09535,0.08503,0.0687,0.05884,0.03035,0.00492,,,0,0,0,0,0,0,0.47375,0.22628,0.17705,0.16006,0.11459,0.10388,0.08618,0.07602,0.0402,0.00639,0,0,-6.43,-3.45,-1.38,3.97,1.81,5.52,15,-4.74,-3.16,-2.77,-0.34,1.15,1.43,1.12,1.27,2.37,-1.59,0.62
